"price","year","manufacturer","make","fuel","miles","title_status","transmission","drive","type","paint_color"
22168,2011,"mercedes-benz","viano","diesel",203593,"rebuilt","manual","fwd","van","black"
9437,2011,"ford","s-max","diesel",137316,"rebuilt","manual","fwd","van","black"
1073,2002,"hyundai","matrix","gas",182000,"rebuilt","manual","fwd","van","black"
1846,2012,"chrysler","town-country","gas",122800,"clean","manual","fwd","van","black"
3515,2006,"fiat","doblo","diesel",155623,"clean","manual","4wd","van","black"
6624,2008,"seat","alhambra","diesel",129620,"clean","manual","4wd","van","black"
36639,2013,"mercedes-benz","viano","diesel",67000,"rebuilt","manual","fwd","van","black"
10732,2014,"opel","combo","diesel",31447,"rebuilt","manual","fwd","van","black"
924,2007,"opel","vivaro","diesel",122000,"clean","manual","rwd","van","black"
5911,2010,"skoda","roomster","diesel",55700,"clean","manual","rwd","van","black"
3645,2005,"ford","transit","diesel",185200,"clean","manual","4wd","van","black"
12916,2005,"mercedes-benz","viano","diesel",205000,"clean","manual","rwd","van","black"
8142,2005,"mercedes-benz","viano","diesel",321000,"clean","manual","4wd","van","black"
3697,2004,"ford","transit","diesel",313011,"clean","manual","4wd","van","black"
12762,2015,"fiat","doblo","gas",1,"clean","manual","4wd","van","black"
1665,1998,"citroen","berlingo","diesel",224000,"rebuilt","manual","fwd","van","black"
14766,2011,"mercedes-benz","vito","diesel",205000,"clean","manual","rwd","van","black"
14729,2008,"mercedes-benz","viano","diesel",180000,"clean","manual","4wd","van","black"
6658,2014,"ford","fiesta","diesel",45550,"clean","manual","4wd","van","black"
921,2007,"mercedes-benz","vito","diesel",167000,"clean","manual","4wd","van","black"
2549,2002,"ford","transit","diesel",208011,"clean","manual","4wd","van","black"
29977,2012,"mercedes-benz","viano","diesel",91000,"rebuilt","manual","fwd","van","black"
4404,2002,"opel","vivaro","diesel",235000,"clean","manual","4wd","van","black"
3515,2009,"opel","combo","gas",136520,"clean","manual","rwd","compact","black"
10658,2010,"nissan","qashqai","gas",180000,"clean","manual","rwd","compact","black"
961,2011,"ford","mondeo","gas",100,"rebuilt","manual","fwd","compact","black"
11839,2012,"seat","altea","diesel",137800,"clean","manual","fwd","compact","black"
10729,2012,"opel","insignia","gas",152000,"rebuilt","manual","fwd","compact","black"
6287,2011,"skoda","roomster","diesel",145000,"clean","manual","4wd","compact","black"
15166,1995,"bmw","x1","gas",151000,"clean","manual","4wd","compact","black"
12028,2010,"mercedes-benz","vito","gas",76411,"rebuilt","manual","fwd","compact","black"
8138,2007,"suzuki","grand-vitara","gas",118000,"rebuilt","manual","fwd","compact","black"
884,2010,"mercedes-benz","vito","gas",85722,"rebuilt","manual","fwd","compact","black"
7953,2012,"skoda","octavia","diesel",184000,"clean","manual","fwd","compact","black"
29570,2009,"porsche","cayenne","gas",139000,"clean","manual","rwd","compact","black"
5917,2011,"skoda","fabia","gas",2000,"clean","manual","4wd","compact","black"
961,2012,"skoda","octavia","diesel",93500,"clean","manual","4wd","compact","black"
8508,2011,"skoda","octavia","diesel",157000,"rebuilt","manual","fwd","compact","black"
924,2011,"skoda","octavia","diesel",114500,"clean","manual","4wd","compact","black"
7401,2010,"skoda","octavia","diesel",156370,"rebuilt","manual","fwd","compact","black"
7768,2012,"skoda","octavia","diesel",152300,"clean","manual","4wd","compact","black"
5547,2011,"skoda","fabia","diesel",1600,"clean","manual","rwd","compact","black"
13686,2011,"subaru","outback","diesel",6024800,"clean","manual","rwd","compact","black"
10621,2012,"toyota","auris","gas",122179,"clean","manual","4wd","compact","black"
7768,2011,"skoda","octavia","diesel",196500,"clean","manual","4wd","compact","black"
7768,2012,"skoda","octavia","diesel",180800,"rebuilt","manual","fwd","compact","black"
5547,2009,"fiat","500","gas",99000,"rebuilt","manual","fwd","compact","black"
6439,2009,"skoda","octavia","gas",186000,"rebuilt","manual","fwd","compact","black"
7028,2011,"ford","focus","gas",141000,"clean","manual","fwd","compact","black"
3663,2006,"citroen","c3","gas",89374,"rebuilt","manual","fwd","compact","black"
924,2011,"skoda","octavia","diesel",139500,"clean","manual","rwd","compact","black"
8878,2012,"skoda","octavia","diesel",144000,"clean","manual","4wd","compact","black"
7398,2009,"skoda","octavia","diesel",139500,"rebuilt","manual","fwd","compact","black"
16247,2008,"bmw","x5","gas",208000,"clean","manual","4wd","compact","black"
1369,2003,"citroen","saxo","gas",99300,"clean","manual","rwd","compact","black"
5070,2007,"mazda","2","diesel",140700,"rebuilt","manual","fwd","compact","black"
924,2011,"skoda","octavia","diesel",129500,"rebuilt","manual","fwd","compact","black"
4774,2007,"ford","focus","gas",300000,"clean","manual","4wd","compact","black"
1406,2002,"ford","mondeo","gas",100,"rebuilt","manual","fwd","compact","black"
2953,2004,"seat","ibiza","gas",149126,"rebuilt","manual","fwd","compact","black"
5144,2004,"skoda","octavia","diesel",176000,"clean","manual","fwd","compact","black"
3693,2012,"smart","fortwo","gas",15000,"clean","manual","rwd","compact","black"
921,2012,"skoda","octavia","diesel",0,"clean","manual","fwd","compact","black"
4774,2009,"skoda","fabia","gas",117000,"rebuilt","manual","fwd","compact","black"
4404,2007,"skoda","fabia","gas",119000,"clean","manual","4wd","compact","black"
2886,2005,"citroen","c5","gas",100,"clean","manual","rwd","compact","black"
30347,2011,"bmw","z4","gas",69000,"clean","manual","4wd","compact","black"
9252,2009,"skoda","octavia","gas",195,"clean","manual","4wd","compact","black"
4034,2004,"skoda","octavia","gas",100,"clean","manual","4wd","compact","black"
6994,2008,"suzuki","grand-vitara","gas",78000,"clean","manual","4wd","compact","black"
536,2012,"skoda","fabia","gas",172,"clean","manual","rwd","compact","black"
4811,1955,"skoda","octavia","gas",140700,"clean","manual","4wd","compact","black"
3515,2006,"skoda","fabia","gas",500,"rebuilt","manual","fwd","compact","black"
15725,2010,"audi","a5","diesel",139000,"clean","manual","fwd","compact","black"
4256,2005,"citroen","c5","gas",100,"clean","manual","4wd","compact","black"
11695,2012,"skoda","superb","diesel",169000,"rebuilt","manual","fwd","compact","black"
1476,2002,"fiat","punto","gas",115900,"clean","manual","rwd","compact","black"
4766,2005,"skoda","octavia","gas",124114,"clean","manual","fwd","compact","black"
6254,2007,"skoda","octavia","gas",200000,"clean","manual","4wd","compact","black"
2183,2004,"ford","focus","gas",152000,"clean","manual","rwd","compact","black"
5729,2008,"ford","c-max","gas",189000,"clean","manual","4wd","compact","black"
4774,2005,"skoda","octavia","gas",100,"clean","manual","4wd","compact","black"
5736,2009,"suzuki","swift","gas",80200,"rebuilt","manual","fwd","compact","black"
5662,2005,"skoda","octavia","gas",212700,"clean","manual","rwd","compact","black"
883,2010,"skoda","octavia","diesel",164600,"rebuilt","manual","fwd","compact","black"
6254,2007,"skoda","octavia","gas",103,"clean","manual","4wd","compact","black"
3293,2005,"skoda","fabia","gas",127000,"clean","manual","4wd","compact","black"
1073,2001,"citroen","xsara-picasso","gas",261000,"rebuilt","manual","fwd","compact","black"
2202,2003,"opel","corsa","gas",100,"clean","manual","rwd","compact","black"
5547,2008,"opel","vectra","gas",236000,"clean","manual","rwd","compact","black"
3182,2007,"skoda","fabia","gas",126000,"clean","manual","4wd","compact","black"
4437,2011,"citroen","c1","gas",99000,"clean","manual","4wd","compact","black"
14063,2012,"skoda","superb","gas",70000,"clean","manual","rwd","compact","black"
924,2011,"skoda","octavia","diesel",125000,"rebuilt","manual","fwd","compact","black"
15136,2011,"skoda","superb","gas",60500,"clean","manual","rwd","compact","black"
1661,2000,"toyota","corolla","gas",115000,"rebuilt","manual","fwd","compact","black"
8134,2013,"opel","astra","gas",174390,"rebuilt","manual","fwd","compact","black"
11880,2009,"chrysler","grand-voyager","diesel",187500,"clean","manual","rwd","compact","black"
3142,1966,"opel","zafira","gas",142977,"clean","manual","4wd","compact","black"
2586,2004,"ford","focus","gas",100387,"clean","manual","rwd","compact","black"
3700,2015,"toyota","avensis","diesel",259000,"clean","manual","rwd","compact","black"
2405,2003,"skoda","fabia","gas",117000,"clean","manual","4wd","compact","black"
4774,2001,"ford","transit","diesel",154000,"clean","manual","rwd","compact","black"
3663,2003,"skoda","octavia","gas",220000,"clean","manual","4wd","compact","black"
11065,2008,"audi","a6-allroad","diesel",282000,"clean","manual","4wd","compact","black"
8623,2012,"skoda","octavia","gas",100,"clean","manual","rwd","compact","black"
3663,2006,"jaguar","x-type","diesel",180000,"clean","manual","4wd","compact","black"
2179,1061,"toyota","yaris","gas",106150,"clean","manual","4wd","compact","black"
11435,2010,"skoda","superb","diesel",187756,"clean","manual","4wd","compact","black"
462,1298,"skoda","octavia","gas",129800,"clean","manual","rwd","compact","black"
22945,2011,"bmw","x5","gas",109521,"clean","manual","rwd","compact","black"
3663,2004,"skoda","octavia","gas",164000,"rebuilt","manual","fwd","compact","black"
499,2008,"opel","astra","gas",144000,"clean","manual","4wd","compact","black"
847,2008,"skoda","superb","diesel",256000,"rebuilt","manual","fwd","compact","black"
6099,2011,"skoda","fabia","diesel",146249,"clean","manual","4wd","compact","black"
7398,2012,"skoda","octavia","gas",239560,"clean","manual","rwd","compact","black"
3693,2008,"opel","combo","gas",140741,"clean","manual","4wd","compact","black"
3031,2005,"mazda","2","gas",151000,"clean","manual","4wd","compact","black"
13504,2011,"skoda","superb","gas",103,"clean","manual","rwd","compact","black"
9474,2012,"skoda","superb","diesel",100,"clean","manual","rwd","compact","black"
4063,2007,"ford","fiesta","gas",7470000,"rebuilt","manual","fwd","compact","black"
4071,2010,"mazda","2","gas",102000,"clean","manual","rwd","compact","black"
10695,2004,"porsche","cayenne","gas",5090000,"clean","manual","rwd","compact","black"
2590,2010,"mini","cooper","gas",190000,"clean","manual","rwd","compact","black"
3108,2001,"ford","galaxy","gas",1284000,"clean","manual","4wd","compact","black"
4807,2006,"nissan","terrano-ii","diesel",216000,"clean","manual","fwd","compact","black"
4774,1910,"opel","astra","gas",221804,"rebuilt","manual","fwd","compact","black"
2775,2004,"skoda","fabia","gas",148552,"rebuilt","manual","fwd","compact","black"
4404,2005,"opel","astra","gas",100,"clean","manual","rwd","compact","black"
921,2013,"skoda","octavia","diesel",97500,"clean","manual","4wd","compact","black"
1702,2004,"ford","ka","gas",60000,"clean","manual","4wd","compact","black"
7735,2011,"ford","transit","diesel",108000,"clean","manual","rwd","compact","black"
5810,2008,"skoda","octavia","gas",234500,"clean","manual","rwd","compact","black"
5144,2006,"skoda","octavia","gas",100,"rebuilt","manual","fwd","compact","black"
8878,2009,"ford","mondeo","gas",84000,"clean","manual","rwd","compact","black"
3886,2009,"ford","fusion","gas",100,"clean","manual","4wd","compact","black"
2216,2003,"ford","focus","diesel",178000,"rebuilt","manual","fwd","compact","black"
5070,2003,"mini","cooper-s","gas",118000,"clean","manual","4wd","compact","black"
13656,2014,"skoda","octavia","gas",120000,"clean","manual","4wd","compact","black"
1291,1998,"audi","a4","gas",267105,"clean","manual","fwd","compact","black"
3145,2006,"seat","ibiza","gas",156000,"clean","manual","4wd","compact","black"
1772,2003,"ford","fiesta","gas",121000,"clean","manual","rwd","compact","black"
4330,2007,"skoda","fabia","gas",103858,"clean","manual","rwd","compact","black"
1406,2002,"skoda","fabia","gas",292200,"rebuilt","manual","fwd","compact","black"
207,2000,"skoda","octavia","gas",20000,"rebuilt","manual","fwd","compact","black"
7401,2009,"volvo","c30","diesel",72100,"clean","manual","4wd","compact","black"
2923,2002,"audi","a3","gas",116000,"clean","manual","rwd","compact","black"
7028,2007,"audi","a4","gas",220000,"rebuilt","manual","fwd","compact","black"
8874,2008,"audi","200","gas",171294,"clean","manual","4wd","compact","black"
4803,2005,"seat","altea","gas",165300,"clean","manual","4wd","compact","black"
25499,2008,"bmw","x5","gas",190000,"rebuilt","manual","fwd","compact","black"
3663,2003,"skoda","octavia","gas",232000,"rebuilt","manual","fwd","compact","black"
4403,2005,"ford","c-max","diesel",94525,"clean","manual","4wd","compact","black"
8697,2005,"audi","a6","gas",278000,"rebuilt","manual","fwd","compact","black"
4367,2008,"ford","fusion","gas",83000,"clean","manual","4wd","compact","black"
462,2005,"audi","a6","gas",327000,"clean","manual","fwd","compact","black"
1110,1994,"skoda","felicia","gas",65000,"clean","manual","4wd","compact","black"
9178,2007,"jeep","grand-cherokee","gas",124000,"clean","manual","rwd","compact","black"
1295,2001,"ford","fiesta","gas",181000,"clean","manual","rwd","compact","black"
4256,2004,"audi","a4","gas",320000,"clean","manual","rwd","compact","black"
3697,2005,"ford","focus","gas",145450,"clean","manual","rwd","compact","black"
2553,2001,"skoda","fabia","gas",175000,"clean","manual","rwd","compact","black"
17760,2007,"audi","s8","gas",186000,"clean","manual","rwd","compact","black"
22168,2008,"bmw","x6","gas",119000,"clean","manual","4wd","compact","black"
3145,2005,"ford","mondeo","diesel",171000,"clean","manual","rwd","compact","black"
5840,1660,"nissan","x-trail","gas",166000,"clean","manual","rwd","compact","black"
7949,1560,"ford","galaxy","gas",156000,"rebuilt","manual","fwd","compact","black"
14796,1670,"ford","galaxy","gas",167000,"clean","manual","4wd","compact","black"
4030,1970,"ford","galaxy","gas",197000,"clean","manual","4wd","compact","black"
2035,2002,"skoda","fabia","gas",184000,"clean","manual","fwd","compact","black"
6587,2011,"skoda","fabia","gas",53280,"clean","manual","fwd","compact","black"
462,2007,"ford","focus","diesel",134000,"clean","manual","rwd","compact","black"
5033,2007,"skoda","octavia","diesel",217000,"rebuilt","manual","fwd","compact","black"
8660,2007,"skoda","octavia","gas",80000,"clean","manual","rwd","compact","black"
2035,2004,"ford","focus","gas",152000,"rebuilt","manual","fwd","compact","black"
5470,2012,"skoda","fabia","diesel",172500,"clean","manual","rwd","compact","black"
1110,1998,"nissan","micra","gas",75000,"clean","manual","rwd","compact","black"
2202,2000,"skoda","fabia","gas",200,"clean","manual","4wd","compact","black"
21761,2010,"audi","a5","gas",127000,"clean","manual","rwd","compact","black"
12139,2007,"audi","s3","gas",157000,"rebuilt","manual","fwd","compact","black"
2886,2007,"ford","focus","gas",208000,"clean","manual","4wd","compact","black"
1424,1999,"smart","fortwo","gas",81000,"rebuilt","manual","fwd","compact","black"
